Year,System Code,System,School Code,School,Grade,Gender,Ethnicity,Sub Population,Total Student Count,Asian,Asian %,Black or African American,Black or African American %,American Indian / Alaska Native, American Indian / Alaska Native %,Native Hawaiian / Pacific Islander,Native Hawaiian / Pacific Islander %,White,White %,Two or more races,Two or more races %
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Hispanic/Latino,General Education Students,73945,396,~,2637,~,21939,29.67,998,~,38410,51.94,9565,12.94
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Hispanic/Latino,Economically Disadvantaged,68627,297,~,2459,~,21093,30.74,888,~,35164,51.24,8726,12.72
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Hispanic/Latino,Foster,198,*,*,18,9.09,17,8.59,*,*,118,59.60,43,21.72
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Hispanic/Latino,Military Family,1604,26,~,128,7.98,220,13.72,17,~,982,61.22,231,14.40
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Hispanic/Latino,Non-Economically Disadvantaged,16034,145,~,673,~,3301,20.59,223,~,9568,59.67,2124,13.25
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Other Ethnicity,All SubPopulation,634055,10852,~,226380,35.70,5901,~,800,~,363026,57.25,27096,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Other Ethnicity,Students with Limited English Proficiency,5791,2813,48.58,715,12.35,232,~,146,~,1482,25.59,403,6.96
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Other Ethnicity,Homeless,10744,73,~,6181,57.53,101,~,24,~,3687,34.32,678,6.31
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Other Ethnicity,Migrant,277,*,*,25,9.03,125,45.13,14,5.05,88,31.77,20,7.22
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Other Ethnicity,Students with Disabilities,118663,934,~,43649,36.78,968,~,106,~,68226,57.50,4780,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Other Ethnicity,General Education Students,515392,9918,~,182731,35.45,4933,~,694,~,294800,57.20,22316,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Other Ethnicity,Economically Disadvantaged,396618,4203,~,192568,48.55,3328,~,531,~,176923,44.61,19065,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Other Ethnicity,Foster,3084,*,*,993,32.20,16,~,*,*,1829,59.31,238,7.72
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Other Ethnicity,Military Family,14071,218,~,4224,30.02,89,~,54,~,8505,60.44,981,6.97
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Other Ethnicity,Non-Economically Disadvantaged,237437,6649,~,33812,14.24,2573,~,269,~,186103,78.38,8031,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,All Ethnicity,All SubPopulation,349922,5596,~,112629,32.19,14811,~,967,~,197068,56.32,18851,5.39
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,All Ethnicity,Students with Limited English Proficiency,22177,1335,6.02,478,~,7415,33.44,437,~,9835,44.35,2677,12.07
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,All Ethnicity,Homeless,6323,40,~,3140,49.66,456,7.21,24,~,2113,33.42,550,8.70
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,All Ethnicity,Migrant,607,*,*,*,*,303,49.92,*,*,189,31.14,96,15.82
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,All Ethnicity,Students with Disabilities,46076,394,~,15171,32.93,1286,~,84,~,26937,58.46,2204,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,All Ethnicity,General Education Students,303846,5202,~,97458,32.07,13525,~,883,~,170131,55.99,16647,5.48
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,All Ethnicity,Economically Disadvantaged,226673,2209,~,95614,42.18,11992,5.29,704,~,102408,45.18,13746,6.06
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,All Ethnicity,Foster,1601,*,*,489,30.54,15,~,*,*,945,59.03,146,9.12
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,All Ethnicity,Military Family,7701,117,~,2248,29.19,155,~,29,~,4579,59.46,573,7.44
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,All Ethnicity,Non-Economically Disadvantaged,123249,3387,~,17015,13.81,2819,~,263,~,94660,76.80,5105,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Hispanic/Latino,All SubPopulation,41332,226,~,1518,~,11866,28.71,561,~,21795,52.73,5366,12.98
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Hispanic/Latino,Students with Limited English Proficiency,19568,74,~,150,~,7312,37.37,364,~,9183,46.93,2485,12.70
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Hispanic/Latino,Homeless,1029,*,*,46,~,396,38.48,14,~,343,33.33,223,21.67
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Hispanic/Latino,Migrant,470,*,*,*,*,241,51.28,*,*,140,29.79,86,18.30
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Hispanic/Latino,Students with Disabilities,3901,21,~,159,~,908,23.28,42,~,2274,58.29,497,12.74
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Hispanic/Latino,General Education Students,37431,205,~,1359,~,10958,29.28,519,~,19521,52.15,4869,13.01
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Hispanic/Latino,Economically Disadvantaged,33525,155,~,1185,~,10290,30.69,431,~,17169,51.21,4295,12.81
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Hispanic/Latino,Foster,109,*,*,15,13.76,*,*,*,*,60,55.05,25,22.94
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Hispanic/Latino,Military Family,770,*,*,67,8.70,110,14.29,*,*,473,61.43,106,13.77
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Hispanic/Latino,Non-Economically Disadvantaged,7807,71,~,333,~,1576,20.19,130,~,4626,59.25,1071,13.72
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Other Ethnicity,All SubPopulation,308590,5370,~,111111,36.01,2945,~,406,~,175273,56.80,13485,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Other Ethnicity,Students with Limited English Proficiency,2609,1261,48.33,328,12.57,103,~,73,~,652,24.99,192,7.36
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Other Ethnicity,Homeless,5294,33,~,3094,58.44,60,~,*,*,1770,33.43,327,6.18
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Other Ethnicity,Migrant,137,*,*,*,*,62,45.26,*,*,49,35.77,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Other Ethnicity,Students with Disabilities,42175,373,~,15012,35.59,378,~,42,~,24663,58.48,1707,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Other Ethnicity,General Education Students,266415,4997,~,96099,36.07,2567,~,364,~,150610,56.53,11778,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Other Ethnicity,Economically Disadvantaged,193148,2054,~,94429,48.89,1702,~,273,~,85239,44.13,9451,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Other Ethnicity,Foster,1492,*,*,474,31.77,*,*,*,*,885,59.32,121,8.11
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Other Ethnicity,Military Family,6931,109,~,2181,31.47,45,~,23,~,4106,59.24,467,6.74
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Female,Other Ethnicity,Non-Economically Disadvantaged,115442,3316,~,16682,14.45,1243,~,133,~,90034,77.99,4034,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,All Ethnicity,All SubPopulation,368794,5698,~,116883,31.69,15484,~,944,~,210690,57.13,19095,5.18
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,All Ethnicity,Students with Limited English Proficiency,25661,1636,6.38,538,~,8572,33.40,437,~,11486,44.76,2992,11.66
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,All Ethnicity,Homeless,6521,47,~,3125,47.92,441,6.76,32,~,2297,35.22,579,8.88
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,All Ethnicity,Migrant,670,*,*,22,~,341,50.90,13,~,185,27.61,105,15.67
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,All Ethnicity,Students with Disabilities,83303,586,~,28973,34.78,2137,~,135,~,47611,57.15,3861,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,All Ethnicity,General Education Students,285491,5112,~,87910,30.79,13347,~,809,~,163079,57.12,15234,5.34
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,All Ethnicity,Economically Disadvantaged,238572,2291,~,99413,41.67,12429,5.21,715,~,109679,45.97,14045,5.89
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,All Ethnicity,Foster,1681,*,*,522,31.05,18,~,*,*,1002,59.61,135,8.03
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,All Ethnicity,Military Family,7974,127,~,2104,26.39,154,~,42,~,4908,61.55,639,8.01
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,All Ethnicity,Non-Economically Disadvantaged,130222,3407,~,17470,13.42,3055,~,229,~,101011,77.57,5050,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Hispanic/Latino,All SubPopulation,43329,216,~,1614,~,12528,28.91,550,~,22937,52.94,5484,12.66
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Hispanic/Latino,Students with Limited English Proficiency,22479,84,~,151,~,8443,37.56,364,~,10656,47.40,2781,12.37
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Hispanic/Latino,Homeless,1071,*,*,38,~,400,37.35,18,~,380,35.48,228,21.29
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Hispanic/Latino,Migrant,530,*,*,*,*,278,52.45,*,*,146,27.55,95,17.92
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Hispanic/Latino,Students with Disabilities,6815,25,~,336,~,1547,22.70,71,~,4048,59.40,788,11.56
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Hispanic/Latino,General Education Students,36514,191,~,1278,~,10981,30.07,479,~,18889,51.73,4696,12.86
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Hispanic/Latino,Economically Disadvantaged,35102,142,~,1274,~,10803,30.78,457,~,17995,51.26,4431,12.62
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Hispanic/Latino,Foster,89,*,*,*,*,*,*,*,*,58,65.17,18,20.22
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Hispanic/Latino,Military Family,834,18,~,61,7.31,110,13.19,11,~,509,61.03,125,14.99
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Hispanic/Latino,Non-Economically Disadvantaged,8227,74,~,340,~,1725,20.97,93,~,4942,60.07,1053,12.80
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Other Ethnicity,All SubPopulation,325465,5482,~,115269,35.42,2956,~,394,~,187753,57.69,13611,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Other Ethnicity,Students with Limited English Proficiency,3182,1552,48.77,387,12.16,129,~,73,~,830,26.08,211,6.63
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Other Ethnicity,Homeless,5450,40,~,3087,56.64,41,~,14,~,1917,35.17,351,6.44
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Other Ethnicity,Migrant,140,*,*,19,13.57,63,45.00,*,*,39,27.86,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Other Ethnicity,Students with Disabilities,76488,561,~,28637,37.44,590,~,64,~,43563,56.95,3073,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Other Ethnicity,General Education Students,248977,4921,~,86632,34.80,2366,~,330,~,144190,57.91,10538,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Other Ethnicity,Economically Disadvantaged,203470,2149,~,98139,48.23,1626,~,258,~,91684,45.06,9614,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Other Ethnicity,Foster,1592,*,*,519,32.60,*,*,*,*,944,59.30,117,7.35
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Other Ethnicity,Military Family,7140,109,~,2043,28.61,44,~,31,~,4399,61.61,514,7.20
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,Male,Other Ethnicity,Non-Economically Disadvantaged,121995,3333,~,17130,14.04,1330,~,136,~,96069,78.75,3997,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,All Ethnicity,All SubPopulation,3833,37,~,1693,44.17,80,~,*,*,1801,46.99,218,5.69
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,All Ethnicity,Students with Limited English Proficiency,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,All Ethnicity,Homeless,34,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,All Ethnicity,Students with Disabilities,730,*,*,286,39.18,*,*,*,*,376,51.51,50,6.85
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,All Ethnicity,General Education Students,3103,31,~,1407,45.34,71,~,*,*,1425,45.92,168,5.41
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,All Ethnicity,Economically Disadvantaged,2461,14,~,1315,53.43,58,~,*,*,924,37.55,147,5.97
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,All Ethnicity,Foster,25,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,All Ethnicity,Military Family,47,*,*,20,42.55,*,*,*,*,23,48.94,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,All Ethnicity,Non-Economically Disadvantaged,1372,23,~,378,27.55,22,~,*,*,877,63.92,71,5.17
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Hispanic/Latino,All SubPopulation,265,*,*,30,11.32,67,25.28,*,*,123,46.42,43,16.23
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Hispanic/Latino,Students with Limited English Proficiency,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Hispanic/Latino,Homeless,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Hispanic/Latino,Students with Disabilities,48,*,*,*,*,*,*,*,*,23,47.92,12,25.00
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Hispanic/Latino,General Education Students,217,*,*,27,12.44,58,26.73,*,*,100,46.08,31,14.29
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Hispanic/Latino,Economically Disadvantaged,186,*,*,16,8.60,51,27.42,*,*,86,46.24,31,16.67
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Hispanic/Latino,Military Family,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Hispanic/Latino,Non-Economically Disadvantaged,79,*,*,14,17.72,16,20.25,*,*,37,46.84,12,15.19
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Other Ethnicity,All SubPopulation,3568,37,~,1663,46.61,13,~,*,*,1678,47.03,175,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Other Ethnicity,Homeless,33,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Other Ethnicity,Students with Disabilities,682,*,*,283,41.50,*,*,*,*,353,51.76,38,5.57
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Other Ethnicity,General Education Students,2886,31,~,1380,47.82,13,~,*,*,1325,45.91,137,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Other Ethnicity,Economically Disadvantaged,2275,14,~,1299,57.10,*,*,*,*,838,36.84,116,5.10
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Other Ethnicity,Foster,25,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Other Ethnicity,Military Family,39,*,*,18,46.15,*,*,*,*,18,46.15,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,All Gender,Other Ethnicity,Non-Economically Disadvantaged,1293,23,~,364,28.15,*,*,*,*,840,64.97,59,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,All Ethnicity,All SubPopulation,1857,15,~,839,45.18,45,~,*,*,862,46.42,96,5.17
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,All Ethnicity,Students with Limited English Proficiency,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,All Ethnicity,Homeless,18,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,All Ethnicity,Students with Disabilities,245,*,*,98,40.00,*,*,*,*,124,50.61,16,6.53
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,All Ethnicity,General Education Students,1612,13,~,741,45.97,40,~,*,*,738,45.78,80,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,All Ethnicity,Economically Disadvantaged,1206,*,*,649,53.81,33,~,*,*,445,36.90,72,5.97
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,All Ethnicity,Foster,16,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,All Ethnicity,Military Family,29,*,*,13,44.83,*,*,*,*,14,48.28,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,All Ethnicity,Non-Economically Disadvantaged,651,*,*,190,29.19,12,~,*,*,417,64.06,24,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Hispanic/Latino,All SubPopulation,131,*,*,16,12.21,38,29.01,*,*,59,45.04,18,13.74
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Hispanic/Latino,Students with Limited English Proficiency,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Hispanic/Latino,Students with Disabilities,20,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Hispanic/Latino,General Education Students,111,*,*,15,13.51,33,29.73,*,*,48,43.24,15,13.51
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Hispanic/Latino,Economically Disadvantaged,93,*,*,*,*,30,32.26,*,*,38,40.86,16,17.20
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Hispanic/Latino,Military Family,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Hispanic/Latino,Non-Economically Disadvantaged,38,*,*,*,*,*,*,*,*,21,55.26,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Other Ethnicity,All SubPopulation,1726,15,~,823,47.68,*,*,*,*,803,46.52,78,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Other Ethnicity,Homeless,18,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Other Ethnicity,Students with Disabilities,225,*,*,97,43.11,*,*,*,*,113,50.22,13,5.78
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Other Ethnicity,General Education Students,1501,13,~,726,48.37,*,*,*,*,690,45.97,65,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Other Ethnicity,Economically Disadvantaged,1113,*,*,640,57.50,*,*,*,*,407,36.57,56,5.03
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Other Ethnicity,Foster,16,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Other Ethnicity,Military Family,24,*,*,11,45.83,*,*,*,*,11,45.83,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Female,Other Ethnicity,Non-Economically Disadvantaged,613,*,*,183,29.85,*,*,*,*,396,64.60,22,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,All Ethnicity,All SubPopulation,1976,22,~,854,43.22,35,~,*,*,939,47.52,122,6.17
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,All Ethnicity,Students with Limited English Proficiency,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,All Ethnicity,Homeless,16,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,All Ethnicity,Students with Disabilities,485,*,*,188,38.76,*,*,*,*,252,51.96,34,7.01
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,All Ethnicity,General Education Students,1491,18,~,666,44.67,31,~,*,*,687,46.08,88,5.90
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,All Ethnicity,Economically Disadvantaged,1255,*,*,666,53.07,25,~,*,*,479,38.17,75,5.98
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,All Ethnicity,Foster,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,All Ethnicity,Military Family,18,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,All Ethnicity,Non-Economically Disadvantaged,721,15,~,188,26.07,*,*,*,*,460,63.80,47,6.52
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,Hispanic/Latino,All SubPopulation,134,*,*,14,10.45,29,21.64,*,*,64,47.76,25,18.66
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,Hispanic/Latino,Students with Limited English Proficiency,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,Hispanic/Latino,Homeless,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,Hispanic/Latino,Students with Disabilities,28,*,*,*,*,*,*,*,*,12,42.86,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Pre K,Male,Hispanic/Latino,General Education Students,106,*,*,12,11.32,25,23.58,*,*,52,49.06,16,15.09
